,baseline_mrr,baseline_ndcg,expl_mrr,expl_ndcg,delta_mrr,delta_ndcg
q20224,0.16666666666666666,0.3562071871080222,0.03225806451612903,0.2,-0.13440860215053763,-0.15620718710802217
q20225,1.0,1.0,0.02857142857142857,0.19342640361727081,-0.9714285714285714,-0.8065735963827292
q20226,1.0,1.0,0.0625,0.24465054211822604,-0.9375,-0.755349457881774
q20227,0.3333333333333333,0.5,0.034482758620689655,0.2037950470905062,-0.29885057471264365,-0.2962049529094938
q20228,1.0,1.0,0.0,0.0,-1.0,-1.0
q20229,0.1111111111111111,0.3010299956639812,0.0,0.0,-0.1111111111111111,-0.3010299956639812
q20230,0.0625,0.24465054211822604,0.0,0.0,-0.0625,-0.24465054211822604
q20231,0.03125,0.19823986317056053,0.0,0.0,-0.03125,-0.19823986317056053
q20232,1.0,1.0,0.0,0.0,-1.0,-1.0
q20233,0.14285714285714285,0.3333333333333333,0.023809523809523808,0.18428883314870617,-0.11904761904761904,-0.14904450018462714
q20234,0.016666666666666666,0.1686130986895011,0.0,0.0,-0.016666666666666666,-0.1686130986895011
q20235,0.2,0.38685280723454163,0.06666666666666667,0.25,-0.13333333333333336,-0.13685280723454163
q20236,0.125,0.31546487678572877,0.06666666666666667,0.25,-0.058333333333333334,-0.06546487678572877
q20237,0.009259259259259259,0.1477501131786861,0.0,0.0,-0.009259259259259259,-0.1477501131786861
q20238,0.5,0.6309297535714575,0.5,0.6309297535714575,0.0,0.0
q20239,0.5,0.6309297535714575,0.03125,0.19823986317056053,-0.46875,-0.432689890400897
q20240,0.14285714285714285,0.3333333333333333,0.0,0.0,-0.14285714285714285,-0.3333333333333333
q20241,0.16666666666666666,0.3562071871080222,0.1111111111111111,0.3010299956639812,-0.05555555555555555,-0.055177191444040985
q20242,0.14285714285714285,0.3333333333333333,0.015625,0.16604764621593782,-0.12723214285714285,-0.1672856871173955
q20243,0.037037037037037035,0.20801459767650948,0.058823529411764705,0.23981246656813146,0.02178649237472767,0.03179786889162198
q20244,1.0,1.0,0.2,0.38685280723454163,-0.8,-0.6131471927654584
q20245,1.0,1.0,1.0,1.0,0.0,0.0
q20246,0.037037037037037035,0.20801459767650948,0.014925373134328358,0.16427204996205025,-0.022111663902708675,-0.043742547714459235
q20247,0.019230769230769232,0.17458343004804494,0.0,0.0,-0.019230769230769232,-0.17458343004804494
q20248,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.0,0.0
q20249,0.005405405405405406,0.13264079256781566,0.0,0.0,-0.005405405405405406,-0.13264079256781566
q20250,1.0,1.0,0.5,0.6309297535714575,-0.5,-0.36907024642854247
q20251,0.007462686567164179,0.14130649390055278,0.0,0.0,-0.007462686567164179,-0.14130649390055278
q20252,0.16666666666666666,0.3562071871080222,0.011111111111111112,0.15366188628986424,-0.15555555555555556,-0.20254530081815794
q20253,0.1111111111111111,0.3010299956639812,0.0,0.0,-0.1111111111111111,-0.3010299956639812
q20254,0.5,0.6309297535714575,0.25,0.43067655807339306,-0.25,-0.20025319549806447
q20255,0.5,0.6309297535714575,0.0,0.0,-0.5,-0.6309297535714575
q20256,0.0031645569620253164,0.12036100072137051,0.0,0.0,-0.0031645569620253164,-0.12036100072137051
q20257,0.1111111111111111,0.3010299956639812,0.0,0.0,-0.1111111111111111,-0.3010299956639812
q20258,0.0028328611898017,0.11809714022285772,0.0,0.0,-0.0028328611898017,-0.11809714022285772
q20259,0.07142857142857142,0.2559580248098155,0.013157894736842105,0.15957141566993818,-0.05827067669172932,-0.09638660913987732
q20260,0.3333333333333333,0.5,0.16666666666666666,0.3562071871080222,-0.16666666666666666,-0.14379281289197782
q20261,0.007936507936507936,0.14308844150498737,0.0,0.0,-0.007936507936507936,-0.14308844150498737
q20262,1.0,1.0,0.14285714285714285,0.3333333333333333,-0.8571428571428572,-0.6666666666666667
q20263,1.0,1.0,0.0,0.0,-1.0,-1.0
q20264,1.0,1.0,0.01818181818181818,0.17219543379409813,-0.9818181818181818,-0.8278045662059019
q20265,0.3333333333333333,0.5,0.015873015873015872,0.16666666666666666,-0.31746031746031744,-0.33333333333333337
q20266,0.02,0.17629143438888212,0.0,0.0,-0.02,-0.17629143438888212
q20267,0.14285714285714285,0.3333333333333333,0.034482758620689655,0.2037950470905062,-0.1083743842364532,-0.12953828624282712
q20268,0.5,0.6309297535714575,0.05263157894736842,0.23137821315975915,-0.4473684210526316,-0.3995515404116984
q20269,0.09090909090909091,0.27894294565112987,1.0,1.0,0.9090909090909091,0.7210570543488701
q20270,0.14285714285714285,0.3333333333333333,0.0,0.0,-0.14285714285714285,-0.3333333333333333
q20271,0.1,0.2890648263178879,0.0,0.0,-0.1,-0.2890648263178879
q20272,0.05263157894736842,0.23137821315975915,0.0,0.0,-0.05263157894736842,-0.23137821315975915
q20273,0.09090909090909091,0.27894294565112987,0.14285714285714285,0.3333333333333333,0.05194805194805194,0.054390387682203445
q20274,0.125,0.31546487678572877,0.2,0.38685280723454163,0.07500000000000001,0.07138793044881286
q20275,0.07142857142857142,0.2559580248098155,0.0,0.0,-0.07142857142857142,-0.2559580248098155
q20276,0.05263157894736842,0.23137821315975915,0.0,0.0,-0.05263157894736842,-0.23137821315975915
q20277,1.0,1.0,0.019230769230769232,0.17458343004804494,-0.9807692307692307,-0.8254165699519551
q20278,0.06666666666666667,0.25,0.05555555555555555,0.23540891336663824,-0.011111111111111113,-0.014591086633361755
q20279,0.0,0.0,0.0,0.0,0.0,0.0
q20280,0.0016260162601626016,0.1079122731065964,0.0,0.0,-0.0016260162601626016,-0.1079122731065964
q20281,1.0,1.0,0.03125,0.19823986317056053,-0.96875,-0.8017601368294395
q20282,1.0,1.0,0.2,0.38685280723454163,-0.8,-0.6131471927654584
q20283,0.1111111111111111,0.3010299956639812,0.0,0.0,-0.1111111111111111,-0.3010299956639812
q20284,0.16666666666666666,0.3562071871080222,0.14285714285714285,0.3333333333333333,-0.023809523809523808,-0.022873853774688868
q20285,0.3333333333333333,0.5,0.016666666666666666,0.1686130986895011,-0.31666666666666665,-0.33138690131049886
q20286,1.0,1.0,0.0,0.0,-1.0,-1.0
q20287,0.14285714285714285,0.3333333333333333,0.0,0.0,-0.14285714285714285,-0.3333333333333333
q20288,0.0055248618784530384,0.13319490581771357,0.0,0.0,-0.0055248618784530384,-0.13319490581771357
q20289,1.0,1.0,0.5,0.6309297535714575,-0.5,-0.36907024642854247
q20290,1.0,1.0,0.043478260869565216,0.21810429198553155,-0.9565217391304348,-0.7818957080144684
q20291,1.0,1.0,0.16666666666666666,0.3562071871080222,-0.8333333333333334,-0.6437928128919779
q20292,0.3333333333333333,0.5,0.14285714285714285,0.3333333333333333,-0.19047619047619047,-0.16666666666666669
q20293,0.08333333333333333,0.27023815442731974,0.3333333333333333,0.5,0.25,0.22976184557268026
q20294,0.009615384615384616,0.14893706185882832,0.0,0.0,-0.009615384615384616,-0.14893706185882832
q20295,0.023255813953488372,0.18316925091363362,0.0,0.0,-0.023255813953488372,-0.18316925091363362
q20296,0.004761904761904762,0.1295152381234257,0.017543859649122806,0.17070727966372012,0.012781954887218044,0.04119204154029443
q20297,0.16666666666666666,0.3562071871080222,0.034482758620689655,0.2037950470905062,-0.13218390804597702,-0.152412140017516
q20298,0.07692307692307693,0.26264953503719357,0.012658227848101266,0.15817959093978226,-0.06426484907497566,-0.10446994409741131
q20299,0.058823529411764705,0.23981246656813146,0.010416666666666666,0.1515171524096389,-0.04840686274509804,-0.08829531415849257
q20300,0.5,0.6309297535714575,0.14285714285714285,0.3333333333333333,-0.35714285714285715,-0.2975964202381242
q20301,0.0025906735751295338,0.11633061023172703,0.0,0.0,-0.0025906735751295338,-0.11633061023172703
q20302,0.0037735849056603774,0.12414214001892801,0.0,0.0,-0.0037735849056603774,-0.12414214001892801
q20303,0.16666666666666666,0.3562071871080222,0.07142857142857142,0.2559580248098155,-0.09523809523809523,-0.10024916229820668
q20304,0.5,0.6309297535714575,0.0,0.0,-0.5,-0.6309297535714575
q20305,0.1111111111111111,0.3010299956639812,0.05555555555555555,0.23540891336663824,-0.05555555555555555,-0.06562108229734295
q20306,0.07692307692307693,0.26264953503719357,0.0,0.0,-0.07692307692307693,-0.26264953503719357
q20307,0.043478260869565216,0.21810429198553155,0.05,0.227670248696953,0.006521739130434787,0.009565956711421436
q20308,1.0,1.0,0.0,0.0,-1.0,-1.0
q20309,0.125,0.31546487678572877,0.047619047619047616,0.22424382421757544,-0.07738095238095238,-0.09122105256815333
